FL06|FL|6|Florida|District 6|639295|82.1|12.0|0.4|2.3|0.0|1.8|1.4|5.2|78.9|11.9|5.3|36846|34.6|13.4|52.0|78.3|10.3|0.0|1.9|15.4|43.7|21.4|33.1|28.3|11.2||||53.8|20.8|0.3|0.3||
FL07|FL|7|Florida|District 7|639295|85.8|9.0|0.3|1.4|0.0|1.5|1.9|6.9|81.3|8.8|7.3|40525|33.5|10.1|50.4|86.6|5.3|0.0|2.8|18.2|45.7|24.5|33.4|29.8|10.3||||53.0|19.6|0.3|0.3||
FL08|FL|8|Florida|District 8|639295|80.6|7.7|0.4|3.0|0.1|2.8|5.4|17.6|69.9|7.2|17.6|41568|36.8|9.4|55.4|86.9|7.4|0.0|1.9|13.9|49.4|25.9|34.1|29.5|10.3||||50.0|21.0|0.5|0.3||
FL09|FL|9|Florida|District 9|639296|90.5|3.7|0.3|1.8|0.0|1.6|2.1|7.9|85.2|3.5|9.5|40742|34.7|8.6|51.1|93.2|3.5|0.0|0.5|20.5|44.9|24.6|36.7|31.2|9.3||||54.1|20.2|0.3|0.3||
FL10|FL|10|Florida|District 10|639295|90.9|3.7|0.3|2.3|0.1|1.6|1.1|4.4|88.0|3.6|8.0|37168|33.7|8.9|48.7|88.8|6.1|0.0|2.4|23.5|47.1|22.6|33.9|31.0|11.5||||44.7|14.0|0.4|0.5||
FL11|FL|11|Florida|District 11|639295|61.7|28.1|0.4|2.1|0.1|2.9|4.7|20.0|48.3|27.4|17.7|33559|31.0|17.5|54.3|90.4|5.1|0.0|1.6|12.0|45.9|21.2|30.0|31.4|12.3||||37.7|16.0|0.5|0.5||
FL12|FL|12|Florida|District 12|639296|78.7|13.3|0.4|1.1|0.1|1.9|4.6|12.0|72.1|13.0|10.2|37769|33.1|12.4|50.2|89.2|4.2|0.0|1.0|17.1|43.2|16.6|27.3|28.6|14.9||||54.3|20.9|0.3|0.3||
FL13|FL|13|Florida|District 13|639295|90.5|4.5|0.3|0.8|0.0|1.2|2.6|7.7|86.0|4.4|8.6|40187|30.0|9.4|49.9|91.7|3.1|0.0|0.9|28.6|41.5|23.7|30.2|28.4|10.4||||53.6|14.2|0.4|0.2||
FL14|FL|14|Florida|District 14|639295|89.6|5.3|0.2|0.8|0.0|1.5|2.6|9.0|83.8|5.1|9.8|42541|29.8|8.8|53.5|95.1|1.7|0.0|0.3|27.3|41.8|24.4|29.6|30.1|8.5||||56.5|14.5|0.3|0.2||
FL15|FL|15|Florida|District 15|639295|84.8|7.7|0.4|1.6|0.1|2.1|3.4|11.3|77.8|7.3|11.0|39397|31.5|9.8|51.6|86.5|8.8|0.0|0.8|20.2|43.7|22.3|30.7|27.7|10.6||||53.6|18.7|0.2|0.3||
